,使用者ID,是否匿名,留言時間,是否隱藏,訂單編號,給星,留言內容,商品規格
92,10309691.0,1.0,1570265057.0,0.0,1888483381.0,5.0,,['黑色L']
93,14728792.0,1.0,1569991823.0,0.0,1778332696.0,5.0,,['黑色M']
94,20653767.0,1.0,1569939653.0,0.0,1869749469.0,5.0,,['黑色S']
95,27603967.0,1.0,1569839045.0,0.0,1848961813.0,5.0,,['黑色M']
96,1248309.0,1.0,1569806523.0,0.0,1834713499.0,5.0,,['黑色L']
97,81909704.0,1.0,1569727544.0,0.0,1837046814.0,5.0,,['黑色XL']
98,5695428.0,1.0,1569569971.0,0.0,1846394819.0,5.0,,['黑色M']
99,9343515.0,1.0,1569309176.0,0.0,1774210331.0,4.0,,['黑色L']
0,11163546.0,1.0,1585468380.0,0.0,38234097765792.0,5.0,,"['桂皮棕M', '黑色M']"
1,111240600.0,1.0,1585360868.0,0.0,38252803112978.0,5.0,,['藕紫色M']
2,2311434.0,1.0,1585314582.0,0.0,38154593897080.0,5.0,,['藕紫色S']
3,218837005.0,1.0,1585301363.0,0.0,38219133056753.0,5.0,非常穿起來貼身舒適不會有尷尬線 真的很棒大家買起來 買了不會後悔 雖然便宜但品質卻不馬虎喔,"['銹紅M', '霧霾藍M', '黑色M']"
4,4540292.0,1.0,1585201831.0,0.0,38248102695704.0,5.0,,['桂皮棕M']
5,27706604.0,1.0,1585073521.0,0.0,36516925880256.0,5.0,,['霧霾藍S']
6,12134103.0,1.0,1585061689.0,0.0,38015613210879.0,5.0,,['霧霾藍S']
7,6672212.0,1.0,1585022233.0,0.0,37750420383211.0,5.0,CP值超高........................,"['桂皮棕L', '黑色L']"
8,1644115.0,1.0,1584868903.0,0.0,37433808515908.0,5.0,,['桂皮棕L']
9,8105905.0,1.0,1584812307.0,0.0,37723163828848.0,5.0,,['黑色S']
10,3731545.0,1.0,1584714577.0,0.0,37113537873367.0,5.0,出貨速度還可以，衣服不會刺，穿著運動還不錯，價格也不貴，CP值高,['黑色L']
11,3921451.0,1.0,1584628292.0,0.0,37775042446428.0,5.0,穿起來CP值還不錯~下次還會回購,['霧霾藍S']
12,12730412.0,1.0,1584537791.0,0.0,37337767201355.0,5.0,,['銹紅M']
13,2947047.0,1.0,1584429576.0,0.0,37293985934403.0,5.0,斜邊包覆很夠緊 本人32B/C 拿S號很集中！但脱下有些吃力如果重選尺寸，我會改拿M號,"['霧霾藍S', '桂皮棕S']"
14,13688145.0,1.0,1584379504.0,0.0,37234284349044.0,5.0,,['桂皮棕M']
15,6602981.0,1.0,1584327243.0,0.0,37449866064482.0,5.0,,['黑色S']
16,4254865.0,1.0,1584240846.0,0.0,37415461519459.0,5.0,很集中,['黑色M']
17,4934948.0,1.0,1584176111.0,0.0,37125339696258.0,5.0,,['藕紫色M']
18,774752.0,1.0,1584162032.0,0.0,36342810366225.0,5.0,"160cm, 62kg. 我是D罩杯女孩。我是拿霧霾藍色L 和藕紫色L，這款真的很爆乳！！！","['霧霾藍色L', '藕紫色L']"
19,2602136.0,1.0,1583754164.0,0.0,36728306305890.0,5.0,,['黑色L']
